,Unnamed: 0,lat,long,avg_rainfall,Country
17365,17365,10.426132936471477,21.09472445105225,2.1982195377349854,Chad
17366,17366,10.15462784068074,21.09390981267785,2.3428947925567627,Chad
17367,17367,9.883147422965537,21.09311488183885,2.5268568992614746,Chad
17368,17368,9.61169026811258,21.092339565779774,2.6694228649139404,Central African Republic
17369,17369,9.340254962472061,21.091583774545384,2.8964381217956543,Central African Republic
17370,17370,9.068840093877153,21.09084742095112,3.3754880428314213,Central African Republic
17371,17371,8.797444251563718,21.090130420554512,3.617349863052368,Central African Republic
17372,17372,8.526066026090144,21.08943269162766,3.7017319202423096,Central African Republic
17373,17373,8.254704009257358,21.088754155130754,3.545040369033813,Central African Republic
17374,17374,7.983356794029,21.088094734686493,3.6277468204498287,Central African Republic
17375,17375,7.712022974451686,21.08745435655557,3.642980813980103,Central African Republic
17376,17376,7.440701145575413,21.086832949613086,3.6156158447265625,Central African Republic
17377,17377,7.16938990337408,21.086230445325846,3.636638164520264,Central African Republic
17378,17378,6.89808784466612,21.085646777730727,3.885590314865112,Central African Republic
17379,17379,6.6267935670351825,21.0850818834138,3.7756671905517583,Central African Republic
17380,17380,6.355505668750937,21.084535701490484,3.704656600952149,Central African Republic
17381,17381,6.084222748689929,21.084008173586536,3.9967644214630127,Central African Republic
17382,17382,5.812943406256478,21.083499243819908,3.995823621749878,Central African Republic
17383,17383,5.541666241303658,21.083008858783508,4.031915187835693,Central African Republic
17384,17384,5.270389854054293,21.082536967528824,4.138502597808838,Central African Republic
17385,17385,4.9991128450219735,21.08208352155034,4.0962018966674805,Central African Republic
17386,17386,4.727833814932113,21.08164847477088,4.032184600830078,Central African Republic
17387,17387,4.456551364642992,21.081231783527674,4.07269287109375,Central African Republic
17388,17388,4.185264095066799,21.08083340655937,4.2191667556762695,Congo DRC
17389,17389,3.913970607090679,21.08045330499378,4.381216049194337,Congo DRC
17390,17390,3.642669501497715,21.080091442336425,4.529759407043457,Congo DRC
17391,17391,3.371359378887921,21.079747784459933,4.622537612915039,Congo DRC
17392,17392,3.100038839599157,21.079422299594214,4.678240776062012,Congo DRC
17393,17393,2.8287064836279954,21.079114958317412,4.554842948913574,Congo DRC
17394,17394,2.5573609105505333,21.07882573354765,4.5156354904174805,Congo DRC
17395,17395,2.2860007194431087,21.078554600535526,3.9543590545654297,Congo DRC
17396,17396,2.01462450880294,21.07830153685748,4.412661552429199,Congo DRC
17397,17397,1.7432308764686706,21.078066522409788,5.140030860900879,Congo DRC
17398,17398,1.471818419540789,21.077849539403466,5.209600448608398,Congo DRC
17399,17399,1.2003857343019522,21.07765057235982,5.264074325561523,Congo DRC
17400,17400,0.9289314161371556,21.077469608106853,5.0704078674316415,Congo DRC
17401,17401,0.6574540594537762,21.077306635776385,5.205181121826172,Congo DRC
17402,17402,0.38595225760147295,21.077161646801947,5.122866153717041,Congo DRC
17403,17403,0.11442460279189325,21.07703463491744,5.0861549377441415,Congo DRC
17404,17404,-0.15713031398175242,21.07692559615651,5.009649276733398,Congo DRC
17405,17405,-0.4287139030253355,21.07683452885277,4.990541458129883,Congo DRC
17406,17406,-0.7003275760246213,21.07676143364072,4.706585884094238,Congo DRC
17407,17407,-0.9719727461263118,21.07670631345738,4.784447193145752,Congo DRC
17408,17408,-1.2436508280192724,21.07666917354484,4.874096870422363,Congo DRC
17409,17409,-1.5153632380160282,21.076650021453407,4.950752258300781,Congo DRC
17410,17410,-1.787111394134454,21.076648867045613,5.16511344909668,Congo DRC
17411,17411,-2.0588967161797522,21.07666572250101,5.2573676109313965,Congo DRC
17412,17412,-2.330720625826665,21.07670060232164,5.076387405395508,Congo DRC
17413,17413,-2.602584546701978,21.07675352333837,4.810569763183594,Congo DRC
17414,17414,-2.8744899044672847,21.076824504718008,4.80928373336792,Congo DRC
17415,17415,-3.14643812690208,21.076913567971136,4.502147674560547,Congo DRC
17416,17416,-3.4184306439871164,21.07702073696081,4.4662628173828125,Congo DRC
17417,17417,-3.690468887988123,21.077146037912048,4.361884117126465,Congo DRC
17418,17418,-3.9625542935398297,21.077289499422022,4.361884117126465,Congo DRC
17419,17419,-4.2346882977303215,21.077451152471266,4.440977573394775,Congo DRC
17420,17420,-4.506872340185783,21.077631030435462,4.2371864318847665,Congo DRC
17421,17421,-4.779107863155577,21.077829169098262,4.003519535064696,Congo DRC
17422,17422,-5.051396311597712,21.0780456066648,3.823164939880371,Congo DRC
17423,17423,-5.323739133264695,21.07828038377614,3.813629150390625,Congo DRC
17424,17424,-5.596137778789814,21.07853354352452,3.950197458267212,Congo DRC
17425,17425,-5.868593701773771,21.07880513146952,4.353439331054688,Congo DRC
17426,17426,-6.141108358871825,21.079095195655025,4.243189334869385,Congo DRC
17427,17427,-6.4136832098812935,21.079403786627164,4.067411422729491,Congo DRC
17428,17428,-6.686319717829599,21.079730957453094,4.085105419158936,Congo DRC
17429,17429,-6.9590193490626655,21.0800767637407,4.172813892364502,Congo DRC
17430,17430,-7.231783573333896,21.08044126365924,4.183289051055908,Congo DRC
17431,17431,-7.504613863893597,21.080824517960934,4.004076957702637,Angola
